               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,            0.033159,            0.013867,                   0,             0.37254,             0.46296,             0.38211,             0.19717,            0.039885,            0.032617,                   0,            0.006436,            0.006436,            0.006436
                 146,             0.03326,            0.014094,                   0,             0.63083,                 0.5,             0.61797,             0.28035,            0.034321,            0.018209,                   0,           0.0064112,           0.0064112,           0.0064112
                 147,            0.033969,            0.014672,                   0,              0.6203,             0.55556,             0.55939,             0.27535,            0.041366,            0.015135,                   0,           0.0063865,           0.0063865,           0.0063865
                 148,            0.033555,            0.013415,                   0,             0.52227,             0.61111,              0.5587,             0.25757,            0.042304,             0.01583,                   0,           0.0063618,           0.0063618,           0.0063618
                 149,            0.033342,            0.014494,                   0,             0.54993,             0.40741,             0.49654,             0.23282,            0.038513,            0.027061,                   0,            0.006337,            0.006337,            0.006337
                 150,            0.033805,            0.014327,                   0,             0.74667,             0.64815,             0.70374,             0.32065,            0.036916,            0.015633,                   0,           0.0063122,           0.0063122,           0.0063122
                 151,            0.031757,            0.013512,                   0,             0.73266,             0.68519,             0.71726,              0.3541,            0.036431,            0.014821,                   0,           0.0062875,           0.0062875,           0.0062875
                 152,            0.032639,            0.013535,                   0,             0.73842,             0.62963,             0.65067,              0.3229,            0.039838,            0.014902,                   0,           0.0062628,           0.0062628,           0.0062628
                 153,            0.032712,            0.013567,                   0,             0.76275,             0.57407,             0.61902,             0.32007,             0.03905,            0.015687,                   0,            0.006238,            0.006238,            0.006238
                 154,            0.032874,            0.014369,                   0,             0.57106,             0.53704,             0.54848,             0.25716,            0.038828,             0.01664,                   0,           0.0062132,           0.0062132,           0.0062132
                 155,             0.03134,            0.013389,                   0,             0.65756,             0.48148,             0.53307,             0.25575,            0.038655,            0.022103,                   0,           0.0061885,           0.0061885,           0.0061885
                 156,            0.033827,            0.013699,                   0,             0.41245,             0.51852,             0.43821,             0.21414,             0.03796,             0.02769,                   0,           0.0061637,           0.0061637,           0.0061637
                 157,            0.031408,             0.01355,                   0,             0.49465,             0.61111,             0.55158,             0.27373,             0.03864,            0.019428,                   0,            0.006139,            0.006139,            0.006139
                 158,            0.031218,            0.013795,                   0,             0.57365,             0.64783,             0.58814,              0.2854,            0.038641,            0.016809,                   0,           0.0061142,           0.0061142,           0.0061142
